"","date","price","macd1","signal1","macd2","signal2","priceTraded","trade","return","cumReturn"
"2021-01-26",2021-01-26,32569.849609375,9.19519653063214,22.0876902179527,9.19519653063214,25.3437910462516,NA,NA,NA,NA
"2021-01-27",2021-01-27,30432.546875,6.60636939046682,20.3675434593431,6.60636939046682,24.1349251329752,NA,NA,NA,NA
"2021-01-28",2021-01-28,33466.09765625,7.80756208946227,18.9719899738008,7.80756208946227,23.0815468721034,NA,NA,NA,NA
"2021-01-29",2021-01-29,34316.38671875,9.27411109141094,17.8944478757575,9.27411109141094,22.1907445636716,NA,NA,NA,NA
"2021-01-30",2021-01-30,34269.5234375,10.0220212192385,17.0197338028109,10.0220212192385,21.4056656382243,NA,NA,NA,NA
"2021-01-31",2021-01-31,33114.359375,9.25183285438309,16.1566336974301,9.25183285438309,20.6215473941055,NA,NA,NA,NA
"2021-02-01",2021-02-01,33537.17578125,9.03221160955612,15.3650312432219,9.03221160955612,19.8738483112314,NA,NA,NA,NA
"2021-02-02",2021-02-02,35510.2890625,10.6238143722785,14.8382293686726,10.6238143722785,19.2770719280731,NA,NA,NA,NA
"2021-02-03",2021-02-03,37472.08984375,13.299113408814,14.6672164842439,13.299113408814,18.8913971848951,NA,NA,NA,NA
"2021-02-04",2021-02-04,36926.06640625,14.2744333461216,14.6235739133414,14.2744333461216,18.5935285501355,NA,NA,NA,NA
"2021-02-05",2021-02-05,38144.30859375,15.7837984313155,14.7524877486718,15.7837984313155,18.4122556392439,38144.30859375,1,0,72.4982617829473
"2021-02-06",2021-02-06,39266.01171875,17.4992358218148,15.0576819790211,17.4992358218148,18.3533511348937,39266.01171875,-1,0.0294068280787712,74.6302057032081
"2021-02-07",2021-02-07,38903.44140625,17.9753663012351,15.3818691259337,17.9753663012351,18.3289650165931,38903.44140625,1,0,74.6302057032081
"2021-02-08",2021-02-08,46196.46484375,24.3920208253297,16.3829970925333,24.3920208253297,18.7201299074794,NA,NA,NA,NA
"2021-02-09",2021-02-09,46481.10546875,28.168004318371,17.6924423398486,28.168004318371,19.329670192053,NA,NA,NA,NA
"2021-02-10",2021-02-10,44918.18359375,28.6952712838148,18.9149788891782,28.6952712838148,19.9339025205538,NA,NA,NA,NA
"2021-02-11",2021-02-11,47909.33203125,31.0001145231757,20.2577717374001,31.0001145231757,20.6478516820133,NA,NA,NA,NA
"2021-02-12",2021-02-12,47504.8515625,31.5449533611452,21.5119030289273,31.5449533611452,21.3508905000218,NA,NA,NA,NA
"2021-02-13",2021-02-13,47105.515625,31.0097323316845,22.5672173959004,31.0097323316845,21.9740415859355,NA,NA,NA,NA
"2021-02-14",2021-02-14,48717.2890625,31.4126047713165,23.550038215391,31.4126047713165,22.5829811462827,NA,NA,NA,NA
"2021-02-15",2021-02-15,47945.05859375,30.5122331125555,24.3236154261871,30.5122331125555,23.094545789268,NA,NA,NA,NA
"2021-02-16",2021-02-16,49199.87109375,30.3935636164409,24.9980541139931,30.3935636164409,23.5654501652146,NA,NA,NA,NA
"2021-02-17",2021-02-17,52149.0078125,32.0230006249502,25.7786037263217,32.0230006249502,24.1110985819718,NA,NA,NA,NA
"2021-02-18",2021-02-18,51679.796875,32.1113014553994,26.4822368073303,32.1113014553994,24.6272407028381,NA,NA,NA,NA
"2021-02-19",2021-02-19,55888.1328125,34.6700186966385,27.3919903505868,34.6700186966385,25.2751618637284,NA,NA,NA,NA
"2021-02-20",2021-02-20,56099.51953125,35.7579450925496,28.3215408774715,35.7579450925496,25.9514704591362,NA,NA,NA,NA
"2021-02-21",2021-02-21,57539.9453125,36.783109294856,29.2617151460698,36.783109294856,26.6502858678924,NA,NA,NA,NA
"2021-02-22",2021-02-22,54207.3203125,34.4422588117494,29.8373311089231,34.4422588117494,27.1529937997541,NA,NA,NA,NA
"2021-02-23",2021-02-23,48824.42578125,28.6879760666396,29.7096249931138,28.6879760666396,27.2520249137467,NA,NA,NA,NA
"2021-02-24",2021-02-24,49705.33203125,25.221884206229,29.2109871279044,25.221884206229,27.1210480939069,49705.33203125,-1,0.2776589996808,95.3519539647333
"2021-02-25",2021-02-25,47093.8515625,20.8489240680422,28.2818690101419,20.8489240680422,26.7163949309479,NA,NA,NA,NA
"2021-02-26",2021-02-26,46339.76171875,17.2509487070743,27.05621119869,17.2509487070743,26.1057209810205,NA,NA,NA,NA
"2021-02-27",2021-02-27,46188.453125,14.6130693447617,25.6736398815868,14.6130693447617,25.3642595851329,NA,NA,NA,NA
"2021-02-28",2021-02-28,45137.76953125,12.0040669948364,24.1547984497256,12.0040669948364,24.5023116760815,NA,NA,NA,NA
"2021-03-01",2021-03-01,49631.2421875,13.2572225956826,22.9439566881653,13.2572225956826,23.7768220579912,NA,NA,NA,NA
